image_path,xmin,ymin,xmax,ymax,label
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,473,30,524,84,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,585,31,620,79,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,902,75,949,124,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,1031,114,1073,163,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,829,124,890,172,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,1227,168,1278,229,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,1289,137,1332,178,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,1247,233,1293,292,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,578,444,646,496,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,1011,391,1070,431,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,990,432,1049,472,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,1100,436,1153,490,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,1460,534,1524,577,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,1515,670,1559,724,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,769,509,837,547,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,781,536,857,575,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,1210,617,1276,671,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,534,595,599,655,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,709,735,779,784,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,842,791,886,842,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,1288,785,1345,832,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,1229,813,1273,847,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,674,790,727,838,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,762,849,798,886,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,565,882,614,918,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,526,1047,571,1093,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,489,857,541,902,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,619,895,673,964,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,567,1049,630,1100,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,635,1009,701,1086,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,960,913,1000,959,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,953,822,1022,892,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,1058,1091,1111,1134,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,991,1052,1078,1102,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,747,1005,803,1074,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,786,1021,852,1083,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,119,1041,193,1083,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,124,1165,178,1234,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,351,1098,387,1162,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,301,1095,352,1169,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,696,1063,783,1118,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,146,1298,207,1340,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,113,1332,193,1387,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,136,1360,185,1420,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,178,1572,250,1633,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,837,1382,909,1462,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,381,1503,445,1551,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,278,1636,345,1707,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,779,1550,835,1601,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,436,1688,483,1740,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,497,1899,571,1946,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,419,1886,489,1943,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,551,2002,603,2052,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,841,1768,899,1816,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,890,1758,950,1818,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,787,1763,859,1832,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,603,1558,660,1601,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,1468,1772,1533,1821,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,1906,1865,1965,1921,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,1393,1763,1454,1816,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,1805,1575,1862,1631,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,1683,1658,1750,1701,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,1685,1740,1761,1797,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,1312,1507,1360,1561,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,1908,1458,1963,1528,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,971,1522,1032,1581,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,1247,1264,1302,1316,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,704,1145,761,1219,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,1518,799,1599,875,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,1833,1067,1884,1128,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,1779,1274,1840,1338,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,1648,1380,1681,1424,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,1675,1368,1723,1421,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,1590,1453,1641,1496,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,1132,1506,1182,1558,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,1635,2027,1699,2079,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,80,1244,140,1311,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,5,789,62,850,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,1027,1515,1104,1572,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,811,1268,858,1322,ring_cell_cancer
