image_path,xmin,ymin,xmax,ymax,label
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos-resized/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,118,7,131,21,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos-resized/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,146,7,155,19,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos-resized/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,225,18,237,31,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos-resized/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,257,28,268,40,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos-resized/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,207,31,222,43,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos-resized/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,306,42,319,57,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos-resized/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,322,34,333,44,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos-resized/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,311,58,323,73,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos-resized/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,144,111,161,124,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos-resized/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,252,97,267,107,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos-resized/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,247,108,262,118,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos-resized/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,275,109,288,122,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos-resized/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,365,133,381,144,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos-resized/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,378,167,389,181,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos-resized/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,192,127,209,136,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos-resized/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,195,134,214,143,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos-resized/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,302,154,319,167,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos-resized/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,133,148,149,163,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos-resized/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,177,183,194,196,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos-resized/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,210,197,221,210,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos-resized/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,322,196,336,208,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos-resized/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,307,203,318,211,ring_cell_cancer
/Users/renatoboemer/signet-ring-cv/data/sig-train-pos-resized/D201803347_2019-05-21 19_31_10-lv0-34945-46364-2008-2084.jpeg,168,197,181,209,ring_cell_cancer
